eps;n_proto;acc_train;acc_test
0,1;1497;1;0,982
0,2;1497;1;0,982
0,3;1497;1;0,982
0,4;1497;1;0,982
0,5;1497;1;0,982
0,6;1497;1;0,982
0,7;1497;1;0,982
0,8;1497;1;0,982
0,9;1497;1;0,982
1;1497;1;0,982
1,1;1497;1;0,982
1,2;1497;1;0,982
1,3;1497;1;0,982
1,4;1497;1;0,982
1,5;1497;1;0,982
1,6;1497;1;0,982
1,7;1497;1;0,982
1,8;1497;1;0,982
1,9;1497;1;0,982
2;1497;1;0,982
2,1;1497;1;0,982
2,2;1497;1;0,982
2,3;1497;1;0,982
2,4;1497;1;0,982
2,5;1497;1;0,982
2,6;1497;1;0,982
2,7;1497;1;0,982
2,8;1497;1;0,982
2,9;1497;1;0,982
3;1497;1;0,982
3,1;1497;1;0,982
3,2;1497;1;0,982
3,3;1497;1;0,982
3,4;1497;1;0,982
3,5;1497;1;0,982
3,6;1496;1;0,982
3,7;1496;1;0,982
3,8;1496;1;0,982
3,9;1496;1;0,982
4;1496;1;0,982
4,1;1496;1;0,982
4,2;1496;1;0,982
4,3;1495;1;0,982
4,4;1495;1;0,982
4,5;1495;1;0,982
4,6;1495;1;0,982
4,7;1495;1;0,982
4,8;1495;1;0,982
4,9;1495;1;0,982
5;1495;1;0,982
5,1;1495;1;0,982
5,2;1495;1;0,982
5,3;1495;1;0,982
5,4;1495;1;0,982
5,5;1494;1;0,982
5,6;1494;1;0,982
5,7;1494;1;0,982
5,8;1494;1;0,982
5,9;1494;1;0,982
6;1494;1;0,982
6,1;1494;1;0,982
6,2;1494;1;0,982
6,3;1494;1;0,982
6,4;1494;1;0,982
6,5;1494;1;0,982
6,6;1494;1;0,982
6,7;1494;1;0,982
6,8;1494;1;0,982
6,9;1494;1;0,982
7;1494;1;0,982
7,1;1494;1;0,982
7,2;1494;1;0,982
7,3;1494;1;0,982
7,4;1494;1;0,982
7,5;1494;1;0,982
7,6;1494;1;0,982
7,7;1494;1;0,982
7,8;1494;1;0,982
7,9;1494;1;0,982
8;1494;1;0,982
8,1;1494;1;0,982
8,2;1494;1;0,982
8,3;1494;1;0,982
8,4;1494;1;0,982
8,5;1493;1;0,982
8,6;1493;1;0,982
8,7;1493;1;0,982
8,8;1493;1;0,982
8,9;1493;1;0,982
9;1493;1;0,982
10;1493;1;0,982
11;1492;1;0,982
12;1480;1;0,982
13;1451;1;0,982
14;1395;1;0,982
15;1281;1;0,982
15;1281;1;0,982
15,1;1270;1;0,982
15,2;1258;1;0,982
15,3;1253;1;0,982
15,4;1237;1;0,98
15,5;1219;1;0,98
15,6;1213;1;0,98
15,7;1191;1;0,98
15,8;1177;1;0,98
15,9;1160;1;0,98
16;1153;1;0,98
16;1153;1;0,98
16,1;1134;1;0,98
16,2;1114;1;0,982
16,3;1095;1;0,98
16,4;1075;1;0,982
16,5;1051;1;0,982
16,6;1034;1;0,982
16,7;1022;1;0,982
16,8;1001;1;0,982
16,9;975;1;0,982
17;964;1;0,982
17;964;1;0,982
17,1;941;1;0,982
17,2;919;1;0,982
17,3;903;1;0,982
17,4;888;1;0,982
17,5;867;1;0,982
17,6;844;1;0,982
17,7;833;1;0,982
17,8;823;1;0,978
17,9;791;1;0,98
18;777;1;0,98
18;777;1;0,98
18,1;759;1;0,98
18,2;744;1;0,98
18,3;733;1;0,98
18,4;713;1;0,982
18,5;690;1;0,984
18,6;673;1;0,986
18,7;657;1;0,986
18,8;635;1;0,986
18,9;620;1;0,988
19;606;1;0,988
19;606;1;0,988
19,1;585;0,999333333;0,986
19,2;570;0,999333333;0,984
19,3;551;0,998666667;0,986
19,4;533;0,997333333;0,982
19,5;527;0,997333333;0,98
19,6;514;0,997333333;0,98
19,7;496;0,997333333;0,978
19,8;488;0,997333333;0,984
19,9;470;0,997333333;0,984
20;457;0,998;0,982
20;457;0,998;0,982
20,1;446;0,997333333;0,982
20,2;420;0,998;0,988
20,3;413;0,998;0,984
20,4;398;0,997333333;0,984
20,5;389;0,997333333;0,974
20,6;376;0,997333333;0,98
20,7;368;0,997333333;0,98
20,8;354;0,996;0,978
20,9;346;0,996;0,986
21;337;0,996;0,976
21;337;0,996;0,976
21,1;330;0,996;0,976
21,2;319;0,995333333;0,978
21,3;308;0,995333333;0,984
21,4;299;0,995333333;0,98
21,5;287;0,997333333;0,982
21,6;278;0,995333333;0,978
21,7;269;0,996;0,982
21,8;267;0,994666667;0,98
21,9;256;0,995333333;0,978
22;255;0,996;0,98
22;255;0,996;0,98
22,1;249;0,995333333;0,98
22,2;235;0,994;0,978
22,3;226;0,991333333;0,982
22,4;225;0,994;0,978
22,5;211;0,993333333;0,978
22,6;209;0,992;0,976
22,7;206;0,993333333;0,974
22,8;199;0,992666667;0,97
22,9;190;0,993333333;0,966
23;183;0,990666667;0,966
23;183;0,990666667;0,966
23,1;182;0,991333333;0,97
23,2;171;0,988666667;0,968
23,3;166;0,988;0,97
23,4;165;0,988666667;0,97
23,5;163;0,988666667;0,97
23,6;156;0,987333333;0,97
23,7;153;0,988;0,976
23,8;149;0,989333333;0,976
23,9;146;0,988666667;0,976
24;149;0,989333333;0,974
24;149;0,989333333;0,974
24,1;142;0,986666667;0,968
24,2;137;0,984666667;0,974
24,3;131;0,984666667;0,968
24,4;128;0,984;0,966
24,5;123;0,984666667;0,968
24,6;122;0,983333333;0,966
24,7;121;0,983333333;0,964
24,8;122;0,983333333;0,962
24,9;117;0,986;0,966
25;118;0,985333333;0,96
25;118;0,985333333;0,96
25,1;110;0,984666667;0,966
25,2;110;0,984666667;0,96
25,3;108;0,985333333;0,964
25,4;104;0,983333333;0,958
25,5;105;0,983333333;0,962
25,6;98;0,982;0,962
25,7;95;0,978666667;0,962
25,8;87;0,979333333;0,958
25,9;89;0,977333333;0,948
26;89;0,973333333;0,954
26;89;0,973333333;0,954
26,1;84;0,975333333;0,956
26,2;86;0,974666667;0,956
26,3;83;0,972;0,954
26,4;88;0,972;0,952
26,5;82;0,968666667;0,952
26,6;77;0,969333333;0,948
26,7;73;0,967333333;0,952
26,8;72;0,97;0,954
26,9;68;0,965333333;0,95
27;61;0,966;0,952
27;61;0,966;0,952
27,1;61;0,962666667;0,952
27,2;60;0,961333333;0,954
27,3;66;0,964;0,954
27,4;60;0,963333333;0,942
27,5;61;0,962;0,956
27,6;62;0,954666667;0,944
27,7;57;0,944;0,938
27,8;54;0,951333333;0,938
27,9;51;0,950666667;0,936
28;52;0,951333333;0,934
28;52;0,951333333;0,934
28,1;49;0,95;0,942
28,2;49;0,95;0,936
28,3;45;0,948;0,934
28,4;45;0,948;0,932
28,5;47;0,943333333;0,936
28,6;42;0,935333333;0,922
28,7;41;0,933333333;0,92
28,8;39;0,931333333;0,924
28,9;40;0,936666667;0,93
29;38;0,932666667;0,93
29;38;0,932666667;0,93
29,1;39;0,932666667;0,924
29,2;38;0,930666667;0,926
29,3;36;0,928;0,924
29,4;34;0,928666667;0,924
29,5;32;0,926666667;0,916
29,6;30;0,914666667;0,91
29,7;31;0,915333333;0,902
29,8;29;0,918666667;0,912
29,9;27;0,918666667;0,912
30;25;0,915333333;0,906
30;25;0,915333333;0,906
30,1;23;0,897333333;0,894
30,2;24;0,905333333;0,908
30,3;22;0,912666667;0,916
30,4;20;0,91;0,916
30,5;20;0,91;0,916
30,6;21;0,904666667;0,92
30,7;20;0,912;0,922
30,8;20;0,906;0,914
30,9;19;0,89;0,906
31;18;0,89;0,904
31;18;0,89;0,904
31,1;20;0,893333333;0,898
31,2;17;0,864;0,866
31,3;20;0,847333333;0,848
31,4;20;0,847333333;0,848
31,5;19;0,840666667;0,842
31,6;15;0,818;0,83
31,7;14;0,804666667;0,804
31,8;14;0,792;0,782
31,9;13;0,792;0,788
32;13;0,793333333;0,79
32;13;0,793333333;0,79
32,1;12;0,792;0,788
32,2;12;0,792;0,788
32,3;12;0,791333333;0,782
32,4;12;0,787333333;0,786
32,5;11;0,792;0,784
32,6;12;0,784;0,784
32,7;12;0,781333333;0,772
32,8;11;0,788666667;0,778
32,9;11;0,788666667;0,784
33;11;0,788666667;0,784
33;11;0,788666667;0,784
33,1;11;0,788666667;0,784
33,2;12;0,788;0,796
33,3;11;0,788666667;0,784
33,4;11;0,788666667;0,784
33,5;11;0,768;0,76
33,6;11;0,737333333;0,738
33,7;11;0,738;0,736
33,8;11;0,738;0,736
33,9;11;0,716;0,722
34;10;0,684;0,702
34;10;0,684;0,702
34,1;10;0,684;0,702
34,2;10;0,684;0,702
34,3;9;0,62;0,644
34,4;8;0,576;0,602
34,5;7;0,483333333;0,508
34,6;7;0,488666667;0,496
34,7;6;0,416;0,424
34,8;6;0,421333333;0,412
34,9;6;0,421333333;0,412
35;6;0,421333333;0,412
35;6;0,421333333;0,412
35,1;6;0,421333333;0,412
35,2;6;0,421333333;0,412
35,3;6;0,421333333;0,412
35,4;6;0,421333333;0,412
35,5;6;0,421333333;0,412
35,6;6;0,421333333;0,412
35,7;5;0,349333333;0,348
35,8;4;0,27;0,268
35,9;4;0,242666667;0,242
36;4;0,242666667;0,242
36;4;0,242666667;0,242
36,1;4;0,242666667;0,242
36,2;4;0,246;0,234
36,3;4;0,246;0,234
36,4;3;0,246;0,234
36,5;3;0,246;0,234
36,6;3;0,246;0,234
36,7;3;0,246;0,234
36,8;3;0,246;0,234
36,9;3;0,246;0,234
37;3;0,246;0,234
37;3;0,246;0,234
37,1;3;0,246;0,234
37,2;3;0,246;0,234
37,3;3;0,246;0,234
37,4;3;0,246;0,234
37,5;3;0,246;0,234
37,6;3;0,246;0,234
37,7;2;0,197333333;0,194
37,8;2;0,183333333;0,182
37,9;3;0,221333333;0,21
38;1;0,1;0,1
38;1;0,1;0,1
