eps;n_proto;acc_train;acc_test
0,1;1497;1;0,982
0,2;1497;1;0,982
0,3;1497;1;0,982
0,4;1497;1;0,982
0,5;1497;1;0,982
0,6;1497;1;0,982
0,7;1497;1;0,982
0,8;1496;1;0,982
0,9;1496;1;0,982
1;1495;1;0,982
1,1;1495;1;0,982
1,2;1494;1;0,982
1,3;1494;1;0,982
1,4;1494;1;0,982
1,5;1494;1;0,982
1,6;1492;1;0,982
1,7;1492;1;0,982
1,8;1490;1;0,982
1,9;1490;1;0,982
2;1490;1;0,982
2,1;1490;1;0,982
2,2;1489;1;0,982
2,3;1486;1;0,982
2,4;1484;1;0,982
2,5;1479;1;0,982
2,6;1471;1;0,982
2,7;1465;1;0,982
2,8;1449;1;0,982
2,9;1437;1;0,982
3;1424;1;0,982
3,1;1403;1;0,982
3,2;1374;1;0,982
3,3;1349;1;0,982
3,4;1312;1;0,982
3,5;1266;1;0,982
3,6;1213;1;0,98
3,7;1150;1;0,98
3,8;1082;1;0,98
3,9;1015;1;0,974
4;928;1;0,974
4,1;837;1;0,974
4,2;772;0,998666667;0,97
4,3;706;0,998666667;0,968
4,4;644;0,998666667;0,966
4,5;589;0,998;0,974
4,6;516;0,998;0,98
4,7;472;0,997333333;0,972
4,8;425;0,996666667;0,972
4,9;361;0,994666667;0,97
5;323;0,994666667;0,97
5,1;285;0,992;0,97
5,2;259;0,992;0,97
5,3;235;0,993333333;0,968
5,4;208;0,99;0,958
5,5;191;0,987333333;0,958
5,6;171;0,988;0,964
5,7;156;0,988;0,96
5,8;136;0,981333333;0,968
5,9;131;0,983333333;0,962
6;114;0,976;0,97
6,1;102;0,976666667;0,966
6,2;96;0,974666667;0,964
6,3;82;0,966;0,956
6,4;86;0,969333333;0,964
6,5;66;0,954;0,944
6,6;62;0,951333333;0,948
6,7;54;0,945333333;0,948
6,8;51;0,94;0,96
6,9;41;0,924666667;0,932
7;36;0,912;0,896
7,1;29;0,908;0,89
7,2;25;0,896;0,88
7,3;20;0,869333333;0,862
7,4;19;0,866;0,88
7,5;18;0,842666667;0,836
7,6;16;0,832;0,822
7,7;12;0,809333333;0,8
7,8;12;0,802666667;0,804
7,9;12;0,785333333;0,786
8;11;0,774;0,776
8;11;0,774;0,776
8;11;0,774;0,776
8;11;0,774;0,776
8;11;0,774;0,776
8,1;11;0,767333333;0,758
8,1;11;0,767333333;0,758
8,1;11;0,767333333;0,758
8,105;10;0,709333333;0,692
8,11;10;0,709333333;0,692
8,12;10;0,709333333;0,692
8,15;10;0,699333333;0,688
8,2;9;0,704666667;0,714
8,3;9;0,616;0,612
8,4;4;0,346666667;0,352
8,5;3;0,264666667;0,26
8,6;3;0,238;0,236
8,7;2;0,141333333;0,138
8,8;1;0,1;0,1
8,9;1;0,1;0,1
