gamma,lambda,acc_train,acc_test
0.05,0.05,1,0.978
0.05,0.1,1,0.976
0.05,0.15,1,0.978
0.05,0.2,1,0.978
0.05,0.25,1,0.976
0.05,0.3,1,0.976
0.05,0.35,1,0.976
0.05,0.4,1,0.976
0.05,0.45,1,0.974
0.05,0.5,1,0.976
0.05,0.55,1,0.976
0.05,0.6,1,0.976
0.05,0.65,1,0.972
0.05,0.7,1,0.972
0.05,0.75,1,0.972
0.05,0.8,1,0.972
0.05,0.85,1,0.972
0.05,0.9,1,0.97
0.05,0.95,0.996,0.97
0.05,1,0.9813333333333333,0.964
0.1,0.05,1,0.982
0.1,0.1,1,0.98
0.1,0.15,1,0.98
0.1,0.2,1,0.978
0.1,0.25,1,0.978
0.1,0.3,1,0.978
0.1,0.35,1,0.978
0.1,0.4,1,0.978
0.1,0.45,1,0.978
0.1,0.5,1,0.978
0.1,0.55,1,0.978
0.1,0.6,1,0.978
0.1,0.65,1,0.974
0.1,0.7,1,0.972
0.1,0.75,1,0.972
0.1,0.8,1,0.972
0.1,0.85,1,0.972
0.1,0.9,0.998,0.97
0.1,0.95,0.9926666666666667,0.972
0.1,1,0.978,0.966
0.15,0.05,1,0.982
0.15,0.1,1,0.978
0.15,0.15,1,0.978
0.15,0.2,1,0.978
0.15,0.25,1,0.978
0.15,0.3,1,0.978
0.15,0.35,1,0.978
0.15,0.4,1,0.978
0.15,0.45,1,0.978
0.15,0.5,1,0.978
0.15,0.55,1,0.978
0.15,0.6,1,0.98
0.15,0.65,1,0.978
0.15,0.7,1,0.978
0.15,0.75,1,0.972
0.15,0.8,1,0.972
0.15,0.85,0.9986666666666667,0.972
0.15,0.9,0.9966666666666667,0.97
0.15,0.95,0.992,0.972
0.15,1,0.9773333333333334,0.966
0.2,0.05,1,0.98
0.2,0.1,1,0.978
0.2,0.15,1,0.978
0.2,0.2,1,0.978
0.2,0.25,1,0.978
0.2,0.3,1,0.978
0.2,0.35,1,0.978
0.2,0.4,1,0.978
0.2,0.45,1,0.978
0.2,0.5,1,0.978
0.2,0.55,1,0.98
0.2,0.6,1,0.98
0.2,0.65,1,0.978
0.2,0.7,1,0.978
0.2,0.75,1,0.976
0.2,0.8,1,0.972
0.2,0.85,0.998,0.972
0.2,0.9,0.9953333333333333,0.97
0.2,0.95,0.9906666666666667,0.972
0.2,1,0.9773333333333334,0.964
0.25,0.05,1,0.98
0.25,0.1,1,0.98
0.25,0.15,1,0.978
